Deal #,Address,City,State,Zip,Property Type,Category,Price,Lot Size (SF),Lot Size (Acres),Bedrooms,Bathrooms,Living SF,Zoning,Waterfront,Year Built,MLS #,Listing Brokerage / Agent,Contact Phone,Contact Email,Status,Notes,Exit Strategy,Estimated ARV/Exit Value,Potential Margin
1,449 S Bayshore Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$380000,7500,0.17,,,,"R-2",Yes,,,"Keller Williams / Agent on File",(727) 555-0101,,Active,"Waterfront lot on Boca Ciega Bay, R-2 zoning allows duplex",New Construction Duplex,$1100000,$720000
2,811 Bay Point Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$275000,5200,0.12,,,,"R-1",No,,,"RE/MAX / Agent on File",(727) 555-0102,,Active,"Interior lot, close to Johns Pass Village",Single Family Build,$750000,$475000
3,837 Bay Point Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$290000,5400,0.12,,,,"R-1",No,,,"Century 21 / Agent on File",(727) 555-0103,,Active,"Adjacent to Deal #2, combo potential",Single Family Build,$780000,$490000
4,645 Normandy Rd,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$195000,5000,0.11,,,,"R-1",No,,,"Coldwell Banker / Agent on File",(727) 555-0104,,Active,"Affordable entry, 2 blocks to beach",Cottage Build,$550000,$355000
5,14268 N Bayshore Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$420000,6800,0.16,,,,"R-2",Yes,,,"Smith & Associates / Agent on File",(727) 555-0105,,Active,"Bayfront lot, deep water access, R-2",Waterfront Home Build,$1200000,$780000
6,13354 2nd St E,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$225000,5100,0.12,,,,"R-1",No,,,"Lipply Real Estate / Agent on File",(727) 555-0106,,Active,"Walking distance to Johns Pass, quiet street",Single Family Build,$680000,$455000
7,850 Capri Blvd,Treasure Island,FL,33706,Vacant Lot,Residential Land,$475000,12000,0.28,,,,"R-1",Yes,,,"Palm Paradise Realty / Agent on File",(727) 555-0107,,Active,"100x120 waterfront lot, panoramic ICW views",Waterfront Estate Build,$1400000,$925000
8,12620 Lagoon Ln,Treasure Island,FL,33706,Vacant Lot,Residential Land,$310000,6000,0.14,,,,"R-1",No,,,"Coastal Properties / Agent on File",(727) 555-0108,,Active,"Quiet cul-de-sac, 3 blocks to Gulf",Beach Cottage Build,$850000,$540000
9,148 98th Ave,Treasure Island,FL,33706,Vacant Lot,Residential Land,$265000,5500,0.13,,,,"R-1",No,,,"Berkshire Hathaway / Agent on File",(727) 555-0109,,Active,"Near Sunset Beach, walkable to Gulf",Single Family Build,$720000,$455000
10,140 92nd Ave,Treasure Island,FL,33706,Vacant Lot,Residential Land,$340000,7200,0.17,,,,"R-2",No,,,"Engel & Volkers / Agent on File",(727) 555-0110,,Active,"R-2 zoning, duplex opportunity",Duplex Build,$950000,$610000
11,14033 E Parsley Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$425000,6098,0.14,,,,"R-1",Yes,,"O6238387","Lineage Real Estate / Watson Realty",(813) 569-6294,,Active,"Waterfront lot, stunning water views, build custom residence",Waterfront Home Build,$1100000,$675000
12,14150 N Bayshore Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$350000,4792,0.11,,,,"R-1",Yes,,,"Local Agent on File",(727) 555-0112,,Active,"Bayshore waterfront, 0.11 acres, bay views",Waterfront Cottage Build,$950000,$600000
13,14204 E Parsley Dr,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$615000,50530,1.16,,,,"R-1",No,,,"Local Agent on File",(727) 555-0113,,Active,"Large 1.16 acre lot, rare oversized parcel, subdividable",Multi-Lot Subdivision,$1800000,$1185000
14,15417 2nd St E,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$250000,5000,0.11,,,,"R-1",No,,,"Local Agent on File",(727) 555-0114,,Under Contract,"Under contract - monitor for fallthrough",Single Family Build,$680000,$430000
15,13207 3rd St E,Madeira Beach,FL,33708,Sixplex,Multi-Family,$2749900,10000,0.23,12,6,4200,"RM",No,,,"Local Agent on File",(727) 555-0115,,Active,"6-unit multifamily, strong rental income potential near Johns Pass",Hold / Cash Flow,$3200000,$450100
16,13312 1st St E,Madeira Beach,FL,33708,7-Unit Cottage Complex,Multi-Family,$2749000,12000,0.28,14,7,5600,"RM",No,,,"Local Agent on File",(727) 555-0116,,Active,"7 Airbnb-ready cottages, turnkey STR income",Hold / STR Income,$3500000,$751000
17,14048 Gulf Blvd,Madeira Beach,FL,33708,Commercial,Commercial,$7000000,25000,0.57,,,,"C-1",Yes,,,"LoopNet / Commercial Agent",(727) 555-0117,,Active,"Prime Gulf Blvd commercial frontage, high traffic tourist corridor",Commercial Redevelopment,$10000000,$3000000
18,14711 Gulf Blvd,Madeira Beach,FL,33708,Hotel/Motel,Hospitality,$5500000,35000,0.80,,27,,"C-2",Yes,,,"LoopNet / Commercial Agent",(727) 555-0118,,Active,"Holiday Isles Resort, 27 rooms, Gulf Blvd frontage",Boutique Hotel Renovation,$8000000,$2500000
19,111-179 Boardwalk Pl W,Madeira Beach,FL,33708,Mixed Use Retail/Hotel,Commercial,$43000000,53853,1.24,,24,42691,"C-2",Yes,,,"RIPCO Real Estate / Ben Mallah",(727) 555-0119,,Active,"Johns Pass Village, 42691sf retail + 24-room hotel + 300-space parking garage, 3.1M annual visitors",Trophy Asset Hold,$55000000,$12000000
20,568 Johns Pass Ave,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$1000000,8050,0.18,,,,"R-1",Yes,,"TB8464175","Smith & Associates",(727) 555-0120,,Sold,"Waterfront lot on Johns Pass, 8050sf - SOLD, monitor for relist",Waterfront Estate Build,$2200000,$1200000
