score,firm,hq_county,counties,offices,phone,website,contact_name,contact_title,contact_email,size,advertising_evidence,evidence_url,angle,status,date_added
A,The Ward Law Group (855-DOLOR-55),Miami-Dade,Miami-Dade,"Miami-Dade: 7900 NW 154th St, Miami Lakes, FL 33016",305-209-6755 / 855-365-7655,https://www.855dolor55.com,Jany Martinez-Ward,"Co-founder, Managing Partner & CMO",,mid 10-50,"GOOGLE SEARCH ADS-VERIFIED ('car crash attorney near me', Lantana, 7/29/26 — Sponsored search result bidding into Lantana from Miami Lakes (Spanish copy)) + Heavy Spanish-language TV/radio advertiser (855-DOLOR-55 vanity number); Jany Martinez-Ward regularly appears on Univision, Telemundo, Mega TV, America TV; Miami Lakes HQ",https://www.855dolor55.com/in-the-media/,Spanish-language creative fit is perfect — 855-DOLOR-55 wrap on Palmetto/I-75 commuters in Hialeah/Miami Lakes; CMO is a named co-founder (direct decision-maker),draft_ready,2026-07-29
A,Werner Hoffman Greig & Garcia (Coral Gables),Miami-Dade,Miami-Dade,"Miami-Dade: 133 Grand Ave B, Coral Gables, FL 33133",305-845-4470,https://wernerhoffman.com,,,,mid 10-50,"Official Miami Marlins sponsor 2024-2026 (LoanDepot Park signage, 2026 bucket-hat giveaway night); Coral Gables HQ",https://wernerhoffman.com/marlins/,Marlins sponsor with a local Coral Gables address — mid-size so a founder-level partner (Adam Werner) likely signs off on marketing; bilingual (Garcia) fit,draft_ready,2026-07-29
A,Bodden & Bennett Law Group,Palm Beach,Palm Beach,"Palm Beach: Boynton Beach, FL (verify street address)",561-806-5229,,,,,small 2-10,"MAP-PACK LOCAL for Lantana crash searches (7/29/26); 7+ yrs, 578 reviews, 5.0 — heavy review-generation = active marketer",Google Search Lantana 2026-07-29,"Young, review-driven Boynton firm — marketing-savvy founders; first-mover exclusivity for Boynton",draft_ready,2026-07-29
A,GOLDLAW (Law Offices of Craig Goldenfarb),Palm Beach,Palm Beach,"Palm Beach: 1641 Worthington Rd, Ste 300, West Palm Beach, FL 33409",561-222-2222,https://goldlaw.com,Craig Goldenfarb,CEO / Founder (on-camera talent; drives marketing strategy),no marketing email published,mid 10-50,"GOOGLE SEARCH ADS-VERIFIED ('car crash attorney near me', Lantana, 7/29/26 — Sponsored map slot) + GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Founder appears on TV commercials, billboards and print collateral; vanity number 561-222-2222; blog on PI firm marketing",https://about.me/craig_goldenfarb ; https://goldlaw.com/blog/social-media-a-game-changer-for-personal-injury-law-firms/,Owner IS the marketing decision-maker and already on WPB billboards — wrapped commuter cars with his face + 222-2222 on I-95,draft_ready,2026-07-29
A,Gordon & Partners,Palm Beach,Palm Beach,"Palm Beach: 4114 Northlake Blvd, Palm Beach Gardens, FL 33410",561-333-3333,https://www.fortheinjured.com,Jordan Gallo,"Director, Marketing (per ZoomInfo)",not published (ZoomInfo masked: j***@fortheinjured.com),mid 10-50,"Vanity number 561-333-3333, 24/7 intake, in operation since 1993, dedicated marketing director on staff; TV/billboard buys not independently verified in this pass",https://www.zoominfo.com/p/Jordan-Gallo/1858910954 ; https://www.fortheinjured.com/contact-us/,Named marketing director + memorable vanity number = ideal creative for a wrap; PBG office sits on Northlake/I-95 corridor,draft_ready,2026-07-29
A,Horowitz Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: Boynton Beach, FL (verify street address)",561-767-3015,,,,,small 2-10,"MAP-PACK LOCAL for 'car crash attorney near me' from Lantana (7/29/26); 20+ yrs, 432 reviews, 5.0",Google Search Lantana 2026-07-29,"Literal neighbor — Boynton firm ranking organically for Lantana crash searches; founder-run, fast yes; wraps on Boynton/Lantana/I-95 hit their exact patch",draft_ready,2026-07-29
A,Kemp Law Group,Palm Beach,Palm Beach,Palm Beach: (verify — LSA lists 'serves Atlantis'; site foundational office TBD),,https://www.kemplaw.com,,,,mid 10-50,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 28+ yrs, 925 reviews, family-owned",Google LSA 33462 pull 2026-07-29,Family-owned = fast decision; 925 reviews shows heavy volume marketing; ask for the owner directly,new,2026-07-29
A,LaBovick Law Group,Palm Beach,Palm Beach,"Palm Beach: 5220 Hood Rd, Ste 200, Palm Beach Gardens, FL 33418",561-625-8400,https://www.labovick.com,,Marketing Director (role exists; posted on LinkedIn 2025 — name not published),no marketing contact published; general contact via https://www.labovick.com/contact-us/,mid 10-50,"GOOGLE SEARCH ADS-VERIFIED ('car crash attorney near me', Lantana, 7/29/26 — appears TWICE as Sponsored search result) + GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + TV ads (iSpot); billboard creative testing (4-billboard ad test report); Official Injury Law sponsor of Miami Hurricanes; in-house marketing team",https://www.ispot.tv/brands/TPe/labovick-law-group ; https://legal.emotiontrac.com/resources/Billboard-Test-Premium-Report.pdf ; https://miamihurricanes.com/labovick/ ; https://theorg.com/org/labovick-law-group/teams/marketing-team,Already tests billboard creative and buys sports sponsorships — pitch GPS-verified mile data as the measurable OOH they can't get from static boards,draft_ready,2026-07-29
A,"Lytal, Reiter, Smith, Ivey & Fronrath",Palm Beach,Palm Beach,"Palm Beach: 515 N Flagler Dr 10th Fl, West Palm Beach, FL 33401",561-655-1990,https://www.foryourrights.com,,,,mid 10-50,"GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462, 7/29/26); 41+ yrs in business, 540 reviews, Se habla español — old-line WPB firm still spending",Google LSA 33462 pull 2026-07-29,41-year WPB brand paying Google per lead in Lantana today — pitch per-mile on the same commuters; Spanish creative fit,draft_ready,2026-07-29
B,Bernheim Kelley Battista,Broward,Broward / Miami-Dade,"Broward: 1212 E Broward Blvd Floor 3, Fort Lauderdale, FL 33301 | Miami-Dade: 9130 S Dadeland Blvd, Suite 1623, Miami, FL 33156",954-866-1111,https://www.bernheimkelley.com,Jesse Bernheim,Founding Partner,no marketing contact published,mid 10-50,Multi-office FL/GA firm with Miami Dadeland office; brand 'realjustice.com' used in TV/billboard creative,https://realjustice.com/florida/miami-personal-injury-lawyer/,Downtown Ft Lauderdale HQ on Broward Blvd — car wraps on the I-95/Broward Blvd interchange feed directly to their door,new,2026-07-29
B,Chalik & Chalik Injury Lawyers,Broward,Broward,"Broward: 10063 NW 1st Ct, Plantation, FL 33324",954-476-1000,https://www.chaliklaw.com,Jason Chalik,Founding Partner,no marketing contact published,small 2-10,Broward-based consumer PI brand with multiple FL offices; recognized in Hennessey law-firm branded-search study alongside TV advertisers,https://www.chaliklaw.com/our-offices/,Plantation HQ off I-595 — commuter wraps on I-595/I-95 hit their exact intake geography,draft_ready,2026-07-29
B,Fenstersheib Law Group,Broward,Broward,"Broward: 520 W Hallandale Beach Blvd, Hallandale Beach, FL 33009",954-456-2488,https://www.tellflg.com,Robert Fenstersheib,Founder,no marketing contact published,small 2-10,Tracked TV advertiser on iSpot.tv; jingle-based TV campaign ('Tell FLG'); 1-800-835-5762,https://www.ispot.tv/brands/OEG/fenstersheib-law-group,South Broward/I-95 & US-1 corridor — extend the 'Tell FLG' jingle brand to wrapped cars in Hallandale/Hollywood/Aventura commute,draft_ready,2026-07-29
B,Weinstein Legal Team,Broward,Broward,"Broward: 514 NE 13th St, Fort Lauderdale, FL 33304",954-845-0505,https://www.thelawofwe.com,Justin Weinstein,Founder,no marketing contact published,mid 10-50,"GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Fort Lauderdale HQ; 24-hr intake; offices in FLL/WPB/Orlando; heavy digital + social brand ('The Law of We')",https://www.thelawofwe.com/locations/fort-lauderdale/,"Young, brand-forward firm — offer them 'first mover' exclusivity in Broward for the wrapped-car category",new,2026-07-29
B,Abogadas305,Miami-Dade,Miami-Dade,"Miami-Dade: 8400 NW 33rd St, Suite 405, Doral, FL 33122 (also 1 Alhambra Plz, Coral Gables)",877-305-3055,https://abogadas305.com,,,,small 2-10,"Spanish-first brand ('Abogadas305', 1-877-305-3055) marketed to Miami's Hispanic market; offices in Doral and Coral Gables",https://abogadas305.com/,Pure Spanish-language creative fit — female-attorney brand on wrapped cars in Doral/Hialeah/Westchester; small firm = founders decide (Victoria San Pedro Madani),new,2026-07-29
B,Mausner Group Injury Lawyers,Miami-Dade,Miami-Dade / Palm Beach (LSA),(786 area code — verify a PBC office exists before pitching PBC corridors),786-823-6889,,,,,small 2-10,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 13+ yrs, 652 reviews, BBB A+",Google LSA 33462 pull 2026-07-29,Bidding into PBC from Miami — pitch as a cheap PBC beachhead; confirm office first,new,2026-07-29
B,Prosper Shaked Accident Injury Attorneys,Miami-Dade,Miami-Dade,"Miami-Dade: 15520 W Dixie Hwy, North Miami Beach, FL 33162",,https://prosperlaw.com,Prosper Shaked,Founding Attorney,,small 2-10,Known South Florida billboard/digital advertiser (I-95 north Dade corridor); Yelp/SuperLawyers list North Miami Beach office,https://prosperlaw.com/contact-us/,Founder-run — pitch Prosper directly; wraps on I-95/Biscayne Blvd commuters through North Miami Beach/Aventura,new,2026-07-29
B,"Brandon J. Broderick, Personal Injury Attorney At Law",Out-of-state (NJ) bidding FL,Palm Beach (LSA),(NJ-based multi-state firm; FL office TBD),,https://www.broderickfirm.com,,,,large 50+,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 15+ yrs, 451 reviews",Google LSA 33462 pull 2026-07-29,Real budget but remote decision-maker — market-entry pitch: cheapest way to build FL brand awareness,new,2026-07-29
B,Brian D. Guralnick Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: West Palm Beach, FL",561-202-6673,https://www.injurylawpalmbeach.com,Brian D. Guralnick,Founder,,small 2-10,Organic page-1 for Lantana crash search ('Voted Best WPB Car Accident Lawyers'); founder-branded firm,Google Search Lantana 2026-07-29,Founder-branded — Brian is the decision; his name on the wrap,new,2026-07-29
